,Comment,Forum,Segments,NoStopPunct
2506,我淨係見到一班人平時人多就私了人，殺人燒人都做得出，一唔夠人打就扮可憐話人恐襲，一班欺善怕惡既廢柴,0,我 淨係 見到 一班人 平時 人多 就 私 了 人 ， 殺人 燒人 都 做 得出 ， 一 唔 夠人 打 就 扮 可憐 話 人 恐襲 ， 一班 欺善怕惡 既 廢柴,淨係 見到 一班人 平時 人多 私 了 人 殺人 燒人 做 得出 一 夠人 打 扮 可憐 人 恐襲 一班 欺善怕惡 廢柴
2507,曱甴搞事，屈元朗白衣人,0,曱甴 搞事 ， 屈 元朗 白衣 人,曱甴 搞事 屈 元朗 白衣 人
2508,"算罷啦,永遠只識cut頭cut尾!",0,"算罷 啦 , 永遠 只識 cut 頭 cut 尾 !",算罷 啦 永遠 只識 cut 頭 cut 尾
2509,毒果嗰D叫真相？肥尾國總統係中國特工可信性會高D囉！,0,毒 果 嗰 D 叫 真相 ？ 肥尾國 總統 係 中國 特工 可信性 會高 D 囉 ！,毒 果 D 叫 真相 肥尾國 總統 中國 特工 可信性 會高 D 囉
2510,見證到三白眼直播,0,見證 到 三 白眼 直播,見證 三 白眼 直播
2511,你班仆街曱甴唔入去元朗搅事咪冇野lor,0,你班仆 街 曱甴 唔 入去 元朗 搅事 咪 冇 野 lor,你班仆 街 曱甴 入去 元朗 搅事 lor
2512,"事實就係仆街黑衣曱甴入元朗挑機
唔夠人打搵普通市民做肉盾
要改歷史係你班黑曱甴，黑撚樣",0,"事實 就係 仆街 黑衣 曱甴 入 元朗 挑機 
 唔 夠人 打 搵 普通 市民 做 肉盾 
 要 改 歷史 係 你 班 黑 曱甴 ， 黑 撚 樣",事實 就係 仆街 黑衣 曱甴 入 元朗 挑機 夠人 打 搵 普通 市民 做 肉盾 改 歷史 班 黑 曱甴 黑 撚 樣
2513,唔係住元朗，入元朗做咩？,0,唔係 住 元朗 ， 入 元朗 做 咩 ？,住 元朗 入 元朗 做
2514,打得精彩。最好做海報。標題是我講大話，今有豬咀。好看嗎？,0,打得 精彩 。 最好 做 海報 。 標題 是 我講 大話 ， 今有 豬咀 。 好看 嗎 ？,打得 精彩 最好 做 海報 標題 我講 大話 今有 豬咀 好看 嗎
2515,成班曱甴暴徒目無法紀，吹雞入元朗恐怖襲擊村民，村民無可奈何之下唯有自衞反抗，俾班畜牲曱甴打到頭破血流，曱甴人渣仲出嚟講風涼話,0,成班 曱甴 暴徒 目無法紀 ， 吹雞入 元朗 恐怖襲擊 村民 ， 村民 無可奈何 之下 唯有 自 衞 反抗 ， 俾班 畜牲 曱甴 打到 頭破血流 ， 曱甴 人渣 仲出 嚟 講 風涼話,成班 曱甴 暴徒 目無法紀 吹雞入 元朗 恐怖襲擊 村民 村民 無可奈何 之下 唯有 自 衞 反抗 俾班 畜牲 曱甴 打到 頭破血流 曱甴 人渣 仲出 嚟 風涼話
2516,"真·歷史永遠記住721只係一班暴徒玩完影響其他人嘅自私暴動，之後由另一班一直被暴徒精神或直接傷害嘅人起身反抗，用和暴徒一樣錯誤的暴力想去表達意見，可惜暴徒最厲害是資訊戰（嘴炮拍片演員洗腦）。
到1年後的時間，也時有暴徒不分日夜在該區演員拍片做証具比自己人信，可謂洗腦流最高奧妙之處。
以上節錄神之百科全書",0,"真 · 歷史 永遠 記住 721 只係 一班 暴徒 玩完 影響 其他人 嘅 自私 暴動 ， 之後 由 另 一班 一直 被 暴徒 精神 或 直接 傷害 嘅 人 起身 反抗 ， 用 和 暴徒 一樣 錯誤 的 暴力 想去 表達意見 ， 可惜 暴徒 最 厲害 是 資訊 戰 （ 嘴炮 拍片 演員 洗腦 ） 。 
 到 1 年後 的 時間 ， 也 時 有 暴徒 不分 日夜 在 該區 演員 拍片 做 証 具 比 自己 人信 ， 可謂 洗腦 流 最高 奧妙 之 處 。 
 以上 節錄 神 之 百科全書",真 歷史 永遠 記住 721 只係 一班 暴徒 玩完 影響 其他人 自私 暴動 另 一班 一直 被 暴徒 精神 或 直接 傷害 人 起身 反抗 用 暴徒 一樣 錯誤 暴力 想去 表達意見 可惜 暴徒 厲害 資訊 戰 嘴炮 拍片 演員 洗腦 1 年後 時間 也 時 暴徒 不分 日夜 該區 演員 拍片 做 証 具 比 人信 可謂 洗腦 流 最高 奧妙 之 處 以上 節錄 神 之 百科全書
2517,街坊要搭地鐵，的士返屋企，721後才知道元朗咁大🤣🤣🤣,0,街坊 要 搭 地鐵 ， 的士 返 屋企 ， 721 後 才 知道 元朗 咁 大 🤣 🤣 🤣,街坊 搭 地鐵 的士 屋企 721 後 才 知道 元朗 大 🤣 🤣 🤣
2518,毒果作文  貼來把撚,0,毒果 作文     貼來 把 撚,毒果 作文 貼來 把 撚
2519,「先撩者賤，打死無怨」,0,「 先 撩者 賤 ， 打死 無怨 」,先 撩者 賤 打死 無怨
2520,我不在現場，但有睇林卓廷FB直播，只見到黄絲曱甴挑釁別人而已，尤其是林卓廷的犯法行為直頭令香港人感覺羞恥,0,我 不在 現場 ， 但 有 睇 林卓廷 FB 直播 ， 只見 到 黄絲 曱甴 挑釁 別人 而已 ， 尤其是 林卓廷 的 犯法 行為 直頭 令 香港人 感覺 羞恥,不在 現場 但 林卓廷 FB 直播 只見 黄絲 曱甴 挑釁 而已 尤其是 林卓廷 犯法 行為 直頭 令 香港人 感覺 羞恥
2521,7.21真相: 包括黑衣人設陷阱屈白衣人、立法會議員林卓廷帶隊鬧事等,0,7.21 真相 :   包括 黑衣人 設 陷阱 屈 白衣 人 、 立法 會議 員林 卓廷 帶隊 鬧事 等,7.21 真相 包括 黑衣人 設 陷阱 屈 白衣 人 立法 會議 員林 卓廷 帶隊 鬧事 等
2522,歷史不容竄改，兩批黑社會互相群毆， 一批攞遮一批攞藤條，其中一批黑色衫唔够打畀人打到跪地求饒，跟住到住喊苦喊忽話差人唔嚟救佢哋，佢哋俾人恐襲,0,歷史 不容 竄改 ， 兩批 黑社會 互相 群毆 ，   一批 攞 遮 一批 攞 藤條 ， 其中 一批 黑色 衫 唔 够打 畀 人 打到 跪地求饒 ， 跟住 到 住 喊 苦 喊 忽話 差人 唔 嚟 救 佢哋 ， 佢哋 俾人 恐襲,歷史 不容 竄改 兩批 黑社會 互相 群毆 一批 攞 遮 一批 攞 藤條 其中 一批 黑色 衫 够打 畀 人 打到 跪地求饒 住 喊 苦 喊 忽話 差人 嚟 救 俾人 恐襲
2523,真香港人一世都唔會忘記721警黑聯手惡行,0,真 香港 人一世 都 唔會 忘記 721 警黑 聯手 惡行,真 香港 人一世 唔會 忘記 721 警黑 聯手 惡行
2524,三白眼經常入去元朗叫g,0,三 白眼 經常 入去 元朗 叫 g,三 白眼 經常 入去 元朗 叫 g
2525,仆街毒果看圖作文，斬頭斬尾淨係講中間,0,仆街 毒果 看圖 作文 ， 斬頭 斬 尾 淨係 講 中間,仆街 毒果 看圖 作文 斬頭 斬 尾 淨係 中間
2526,真係好迷，曱甴今日又打左次飛機，已經成為歷史，乜9都係歷史，咁鍾意歷史教育局快啲取消通識開番中史啦,0,真係 好迷 ， 曱甴 今日 又 打 左次 飛機 ， 已經 成為 歷史 ， 乜 9 都 係 歷史 ， 咁 鍾意 歷史 教育局 快 啲 取消 通識 開番 中史 啦,好迷 曱甴 今日 打 左次 飛機 成為 歷史 9 歷史 鍾意 歷史 教育局 快 取消 通識 開番 中史 啦
2527,"條友帶班人入元朗晒馬, 當時班㣭L話得元朗, 得天下. 要攻打元朗, 笑L死人.
班原往民(即由明,清己定居元朗班人)會點睇?? 請真句, 只要佢地吾犯法, 平時班差佬都吾敢搞佢地, 圍村佬吹雞, 隨時有幾百人出黎, 姓林條儍L入去搞人, 村都未入就有人招呼佢, 係警方嘅角度, 只係有2幫人打鬥, 但毒果只會報黑衣被打,  制做予盾, 要香港做成内部分列, 這是毒果成立目的, 亦即是老尾要係香港搞嘅颜色革命.",0,"條友 帶班 人入 元朗 晒馬 ,   當時 班 㣭 L 話 得 元朗 ,   得 天下 .   要 攻打 元朗 ,   笑 L 死人 . 
 班原 往民 ( 即由明 , 清己 定居 元朗 班人 ) 會點 睇 ? ?   請 真句 ,   只要 佢 地 吾 犯法 ,   平時 班差 佬 都 吾 敢 搞 佢 地 ,   圍村 佬 吹 雞 ,   隨時 有 幾百 人 出黎 ,   姓林 條 儍 L 入去 搞 人 ,   村 都 未入 就 有人 招呼 佢 ,   係 警方 嘅 角度 ,   只係 有 2 幫人 打鬥 ,   但 毒果 只 會報 黑 衣被 打 ,     制做 予盾 ,   要 香港 做成 内部 分列 ,   這是 毒果 成立 目的 ,   亦 即是 老尾要 係 香港 搞 嘅 颜色 革命 .",條友 帶班 人入 元朗 晒馬 當時 班 㣭 L 元朗 天下 攻打 元朗 笑 L 死人 班原 往民 即由明 清己 定居 元朗 班人 會點 請 真句 只要 地 吾 犯法 平時 班差 佬 吾 敢 搞 地 圍村 佬 吹 雞 隨時 幾百 人 出黎 姓林 條 儍 L 入去 搞 人 村 未入 有人 招呼 警方 角度 只係 2 幫人 打鬥 但 毒果 只 會報 黑 衣被 打 制做 予盾 香港 做成 内部 分列 這是 毒果 成立 目的 亦 即是 老尾要 香港 搞 颜色 革命
2528,有Jimmy要支持,1,有 Jimmy 要 支持,Jimmy 支持
2529,31台,1,31 台,31 台
2530,係屋嘅開嚟睇呀,1,係 屋 嘅 開 嚟 睇 呀,屋 開 嚟
2531,變色龍,1,變色龍,變色龍
2532,屌你 歪理,1,屌 你   歪理,屌 歪理
2533,冇人睇？,1,冇 人 睇 ？,人
2534,竟然冇人睇,1,竟然 冇 人 睇,竟然 人
2535,唔post link叫人點睇,1,唔 post   l in k 叫 人點 睇,post l in k 叫 人點
2536,屌你1號扮曬嘢,1,屌 你 1 號扮 曬 嘢,屌 1 號扮 曬
2537,因為睇緊32台 梳,1,因為 睇 緊 32 台   梳,緊 32 台 梳
2538,"1號侯選人 - 建制派
支持獨立調查 (即係反林鄭?)
支持改革警隊 (即係反林大總統?)
唔好再假D?",1,"1 號 侯選人   -   建制 派 
 支持 獨立 調查   ( 即係 反林 鄭 ? ) 
 支持 改革 警隊   ( 即係 反林 大總統 ? ) 
 唔好 再假 D ?",1 號 侯選人 建制 派 支持 獨立 調查 反林 鄭 支持 改革 警隊 反林 大總統 唔好 再假 D
2539,"擺撚到明建制
收皮啦",1,"擺 撚 到 明 建制 
 收皮 啦",擺 撚 明 建制 收皮 啦
2540,31台,1,31 台,31 台
2541,佢就嚟連自己講咩都唔知,1,佢 就 嚟 連 自己 講 咩 都 唔知,嚟 連 唔知
2542,"用晒D時間, 陰公
講野無point",1,"用 晒 D 時間 ,   陰公 
 講野 無 point",用 晒 D 時間 陰公 講野 point
2543,Jimmy好撚正,1,Jimmy 好 撚 正,Jimmy 撚 正
2544,"講到1999
仲以為自己好有point
傻鳩",1,"講到 1999 
 仲 以為 自己 好 有 point 
 傻 鳩",講到 1999 仲 以為 point 傻 鳩
2545,真係建制變色龍黎,1,真係 建制 變色龍 黎,建制 變色龍 黎
2546,1號成日係老人邨派禮物,1,1 號 成日 係 老人 邨 派 禮物,1 號 老人 邨 派 禮物
2547,Jimmy講野真係幾有point又反應快,1,Jimmy 講野 真係 幾有 point 又 反應 快,Jimmy 講野 幾有 point 反應 快
2548,今次投票係 良知同暴政之間嘅表決,1,今次 投票 係   良知 同 暴政 之間 嘅 表決,今次 投票 良知 暴政 之間 表決
2549,"忽然又反五大訴求
又忽然認自己建制
柒頭",1,"忽然 又 反 五大 訴求 
 又 忽然 認 自己 建制 
 柒頭",忽然 反 五大 訴求 忽然 認 建制 柒頭
2550,建制扮黃被人寸到反駁唔到,1,建制 扮黃 被 人寸 到 反駁 唔 到,建制 扮黃 被 人寸 反駁
2551,"禮物照攞
票就",1,"禮物 照 攞 
 票 就",禮物 照 攞 票
2552,"藍又唔夠人藍
扮黃你又唔夠真黃鬥
返去食屎啦佢",1,"藍 又 唔 夠人 藍 
 扮黃 你 又 唔 夠真黃鬥 
 返去 食屎 啦 佢",藍 夠人 藍 扮黃 夠真黃鬥 返去 食屎 啦
2553,佢真係變色龍嚟,1,佢 真係 變色龍 嚟,變色龍 嚟
2554,"變到成隻綠色咁囉, 唔藍唔黃
你叫d廢老點認得你呀",1,"變到 成 隻 綠色 咁 囉 ,   唔 藍 唔 黃 
 你 叫 d 廢 老點 認得 你 呀",變到 成 隻 綠色 囉 藍 黃 叫 d 廢 老點 認得
2555,"其他選區大家小心d
睇真d啦
好多獨立扮黃",1,"其他 選區 大家 小心 d 
 睇 真 d 啦 
 好多 獨立 扮黃",選區 大家 小心 d 真 d 啦 好多 獨立 扮黃
2556,掌心雷 唔洗認,1,掌心雷   唔 洗認,掌心雷 洗認
2557,一陣中西區,1,一陣 中西區,一陣 中西區
2558,"呢區邊個係黃
2個黃？？",1,"呢區 邊個 係 黃 
 2 個 黃 ？ ？",呢區 黃 2 黃
2559,"唔知
但覺得2號個樣唔似黃
畀我揀都揀1號",1,"唔知 
 但 覺得 2 號個樣 唔 似 黃 
 畀 我 揀 都 揀 1 號",唔知 但 2 號個樣 似 黃 畀 揀 揀 1 號
2560,"2號個樣奸奸地
但1號講野唔係好得",1,"2 號個樣 奸奸 地 
 但 1 號講野 唔係 好 得",2 號個樣 奸奸 地 但 1 號講野
2561,有中西區民主派發現，循中西區堅摩參選、沒有填報政治聯繫的林雪迎，其提名表格有可疑，《蘋果》翻查後發現，其多位提名人的簽名字迹及風格相近，甚至與中西區寶翠的另一名𠝹票黨馮敬彥的提名人字迹亦相近；林雪迎的對手、民主派黃健菁稱將以「有人涉嫌在選舉文件上作虛假陳述」向廉署舉報。,1,有 中西區 民主派 發現 ， 循 中西區 堅摩 參選 、 沒有 填報 政治 聯繫 的 林雪迎 ， 其 提名 表格 有 可疑 ， 《 蘋果 》 翻查 後 發現 ， 其 多位 提名 人 的 簽名 字迹 及 風格 相近 ， 甚至 與 中西區 寶翠 的 另一名 𠝹 票黨 馮敬彥 的 提名 人 字迹 亦 相近 ； 林雪迎 的 對手 、 民主派 黃 健菁稱 將以 「 有人 涉嫌 在 選舉 文件 上作 虛假 陳述 」 向 廉署 舉報 。,中西區 民主派 發現 循 中西區 堅摩 參選 填報 政治 聯繫 林雪迎 其 提名 表格 可疑 《 蘋果 》 翻查 後 發現 其 多位 提名 人 簽名 字迹 及 風格 相近 甚至 中西區 寶翠 另一名 𠝹 票黨 馮敬彥 提名 人 字迹 亦 相近 林雪迎 對手 民主派 黃 健菁稱 將以 有人 涉嫌 選舉 文件 上作 虛假 陳述 向 廉署 舉報
2562,最撚憎藍扮黃,1,最 撚 憎藍扮 黃,撚 憎藍扮 黃
2563,哇,1,哇,哇
2564,唔怪得知個樣咁衰,1,唔怪得知 個樣 咁 衰,唔怪得知 個樣 衰
2565,馮敬彥屌你老母扮黃,1,馮敬彥 屌 你 老母 扮黃,馮敬彥 屌 老母 扮黃
2566,仲話人歧視後生仔,1,仲話 人 歧視 後生仔,仲話 人 歧視 後生仔
2567,建議大家一齊fc埋,1,建議 大家 一齊 fc 埋,建議 大家 一齊 fc 埋
2568,"哇
最憎藍扮黃",1,"哇 
 最憎 藍扮 黃",哇 最憎 藍扮 黃
2569,"馮敬彥 講d野真係無乜point, 我都唔知你可以為個社區做到d乜",1,"馮敬彥   講 d 野 真係 無 乜 point ,   我 都 唔知 你 可 以為 個 社區 做到 d 乜",馮敬彥 d point 唔知 可 以為 社區 做到 d
2570,哇 呢條友咁撚串,1,哇   呢 條友 咁 撚 串,哇 條友 撚 串
2571,淨係識屌鳩人歧視後生仔,1,淨係 識 屌 鳩 人 歧視 後生仔,淨係 識 屌 鳩 人 歧視 後生仔
2572,Hi馮生,1,Hi 馮生,Hi 馮生
2573,"1號講罰有啲甩咳
但有準備",1,"1 號講罰 有啲 甩 咳 
 但 有 準備",1 號講罰 甩 咳 但 準備
2574,條變色龍都幾好戲,1,條 變色龍 都 幾好 戲,條 變色龍 幾好 戲
2575,俾人篤爆,1,俾人 篤 爆,俾人 篤 爆
2576,"哇
好垃圾",1,"哇 
 好 垃圾",哇 垃圾
2577,"有晒fb相, 扮黃之餘仲係超紅",1,"有 晒 fb 相 ,   扮黃 之餘 仲係 超紅",晒 fb 相 扮黃 之餘 仲係 超紅
2578,"1號口才麻麻
但有做功課",1,"1 號 口才 麻麻 
 但 有 做 功課",1 號 口才 麻麻 但 做 功課
2579,七情上面咁,1,七情 上面 咁,七情 上面
2580,馮生好撚好戲,1,馮 生好 撚 好戲,馮 生好 撚 好戲
2581,佢背後d人起底起得好透,1,佢 背後 d 人起底 起 得 好 透,背後 d 人起底 起 透
2582,參與活動唔等於立場,1,參與 活動 唔 等於 立場,參與 活動 等於 立場
2583,屌你老母 咁撚樣都講得出,1,屌 你 老母   咁 撚 樣 都 講得 出,屌 老母 撚 樣 講得 出
2584,假到仆街收皮啦,1,假到 仆街 收皮 啦,假到 仆街 收皮 啦
2585,含撚啦馮敬彥,1,含 撚 啦 馮敬彥,含 撚 啦 馮敬彥
2586,轉中立,1,轉 中立,轉 中立
2587,又屈鳩人收成期,1,又 屈鳩 人 收成 期,屈鳩 人 收成 期
2588,"唔入過唔知幾黑暗
佢講野似十年前果班呃人去種金咁",1,"唔 入過 唔知 幾 黑暗 
 佢 講 野 似 十 年前 果班 呃 人 去 種金 咁",入過 唔知 黑暗 似 十 年前 果班 呃 人 種金
2589,佢個樣好世界仔,1,佢 個 樣 好 世界 仔,樣 世界 仔
2590,"呢個真係笑撚死
唔死過唔知死字點寫",1,"呢個 真係 笑 撚 死 
 唔 死過 唔知 死字 點寫",笑 撚 死 死過 唔知 死字 點寫
2591,抹黑連登？？？我屌你老母,1,抹黑 連登 ？ ？ ？ 我 屌 你 老母,抹黑 連登 屌 老母
2592,"2秒都唔識用, ON99",1,"2 秒 都 唔 識用 ,   ON99",2 秒 識用 ON99
2593,個個仆街又幾好口材,1,個個 仆街 又 幾好 口材,個個 仆街 幾好 口材
2594,"後生呢代唔會中你計 班藍屍唔會投你
摺埋啦",1,"後生 呢 代 唔會 中 你計   班藍屍 唔會 投 你 
 摺 埋 啦",後生 代 唔會 中 你計 班藍屍 唔會 投 摺 埋 啦
2595,"七情上面咁
懶好戲咁
又串鳩人老",1,"七情 上面 咁 
 懶 好戲 咁 
 又 串 鳩 人 老",七情 上面 懶 好戲 串 鳩 人 老
2596,"寶翠區街坊一定要將呢條變色龍D相貼街招做文宣
肯定有後生仔少睇新聞俾佢用後生同路人呢招黎昆左",1,"寶翠區 街坊 一定 要將 呢條 變色龍 D 相貼 街招 做文宣 
 肯定 有 後生仔 少 睇 新聞 俾 佢 用 後生 同路人 呢 招黎昆 左",寶翠區 街坊 要將 呢條 變色龍 D 相貼 街招 做文宣 肯定 後生仔 少 新聞 俾 用 後生 同路人 招黎昆 左
2597,On9一味屌人地老,1,On9 一味 屌 人地 老,On9 一味 屌 人地 老
2598,"重點, 踢走保皇黨, 我投1號",1,"重點 ,   踢走 保皇黨 ,   我 投 1 號",重點 踢走 保皇黨 投 1 號
2599,係殺人琼後面 又話建制派配票機器,1,係 殺人 琼 後面   又 話 建制 派 配票 機器,殺人 琼 後面 建制 派 配票 機器
2600,講乜鳩叫雞做鴨,1,講乜 鳩 叫 雞 做 鴨,講乜 鳩 叫 雞 做 鴨
2601,"佢成隻小學雞咁, 點投得落呀",1,"佢 成 隻 小學 雞 咁 ,   點 投得 落 呀",成 隻 小學 雞 投得 落
2602,"我都呆左
做乜自爆",1,"我 都 呆 左 
 做乜 自爆",呆 左 做乜 自爆
2603,見到條粉腸都想打獲佢，林鄭feel仲好意思話自己後生，咁後生讀咁多書都學人做藍絲狗賴共狗知唔知醜,1,見到 條 粉腸 都 想 打 獲 佢 ， 林鄭 feel 仲 好意思 話 自己 後生 ， 咁 後生 讀 咁 多書 都 學人 做 藍絲狗 賴共狗知 唔知 醜,見到 條 粉腸 打 獲 林鄭 feel 仲 好意思 後生 後生 讀 多書 學人 做 藍絲狗 賴共狗知 唔知 醜
2604,個嘴臉,1,個 嘴臉,嘴臉
2605,"馮生
不過民主黨嗰個口才好弱",1,"馮生 
 不過 民主黨 嗰個 口才好 弱",馮生 民主黨 口才好 弱
2606,好熱鬧！,1,好 熱鬧 ！,熱鬧
2607,"講野1999
但有做足功課",1,"講野 1999 
 但 有 做 足 功課",講野 1999 但 做 足 功課
2608,下場係保民聯藍絲林,1,下場 係 保民 聯藍絲林,下場 保民 聯藍絲林
2609,"屌佢老母扮黃
全世界真係要睇清楚邊班仆街係假獨立",1,"屌 佢 老母 扮黃 
 全世界 真係 要 睇 清楚 邊班仆 街 係 假 獨立",屌 老母 扮黃 全世界 清楚 邊班仆 街 假 獨立
2610,明明有好多point可以博柒佢不過條友啲語言偽術係好既。,1,明明 有 好多 point 可以 博 柒 佢 不過 條友 啲 語言 偽術 係 好 既 。,明明 好多 point 博 柒 條友 語言 偽術
